2024-10-05 14:32:18,008 - INFO - Started.
2024-10-05 14:32:54,414 - INFO - Epoch 1/50000, Loss: 481814.625
2024-10-05 14:33:24,587 - INFO - Epoch 101/50000, Loss: 476279.375
2024-10-05 14:33:54,760 - INFO - Epoch 201/50000, Loss: 473123.1875
2024-10-05 14:34:25,042 - INFO - Epoch 301/50000, Loss: 470457.03125
2024-10-05 14:34:55,684 - INFO - Epoch 401/50000, Loss: 466993.75
2024-10-05 14:35:26,045 - INFO - Epoch 501/50000, Loss: 464197.21875
2024-10-05 14:35:56,874 - INFO - Epoch 601/50000, Loss: 461047.25
2024-10-05 14:36:27,749 - INFO - Epoch 701/50000, Loss: 458262.78125
2024-10-05 14:36:57,937 - INFO - Epoch 801/50000, Loss: 456556.78125
2024-10-05 14:37:28,156 - INFO - Epoch 901/50000, Loss: 453817.59375
2024-10-05 14:37:58,813 - INFO - Epoch 1001/50000, Loss: 450701.09375
2024-10-05 14:38:29,674 - INFO - Epoch 1101/50000, Loss: 446943.5625
2024-10-05 14:39:00,299 - INFO - Epoch 1201/50000, Loss: 444113.625
2024-10-05 14:39:31,222 - INFO - Epoch 1301/50000, Loss: 441447.78125
2024-10-05 14:40:01,552 - INFO - Epoch 1401/50000, Loss: 438800.09375
2024-10-05 14:40:32,022 - INFO - Epoch 1501/50000, Loss: 435846.53125
2024-10-05 14:41:01,850 - INFO - Epoch 1601/50000, Loss: 433557.8125
2024-10-05 14:41:31,679 - INFO - Epoch 1701/50000, Loss: 432276.59375
2024-10-05 14:42:02,492 - INFO - Epoch 1801/50000, Loss: 428224.40625
2024-10-05 14:42:32,962 - INFO - Epoch 1901/50000, Loss: 426103.15625
2024-10-05 14:43:03,384 - INFO - Epoch 2001/50000, Loss: 423221.96875
2024-10-05 14:43:33,947 - INFO - Epoch 2101/50000, Loss: 420064.71875
2024-10-05 14:44:04,353 - INFO - Epoch 2201/50000, Loss: 417673.28125
2024-10-05 14:44:34,181 - INFO - Epoch 2301/50000, Loss: 417923.0
2024-10-05 14:45:04,385 - INFO - Epoch 2401/50000, Loss: 412009.4375
2024-10-05 14:45:34,572 - INFO - Epoch 2501/50000, Loss: 410180.3125
2024-10-05 14:46:04,222 - INFO - Epoch 2601/50000, Loss: 407079.28125
2024-10-05 14:46:34,767 - INFO - Epoch 2701/50000, Loss: 405027.65625
2024-10-05 14:47:05,549 - INFO - Epoch 2801/50000, Loss: 402787.125
2024-10-05 14:47:36,238 - INFO - Epoch 2901/50000, Loss: 399330.0
2024-10-05 14:48:06,676 - INFO - Epoch 3001/50000, Loss: 397099.78125
2024-10-05 14:48:37,176 - INFO - Epoch 3101/50000, Loss: 394616.71875
2024-10-05 14:49:07,178 - INFO - Epoch 3201/50000, Loss: 393562.4375
2024-10-05 14:49:38,214 - INFO - Epoch 3301/50000, Loss: 392150.9375
2024-10-05 14:50:09,218 - INFO - Epoch 3401/50000, Loss: 386920.25
2024-10-05 14:50:40,441 - INFO - Epoch 3501/50000, Loss: 384789.21875
2024-10-05 14:51:10,912 - INFO - Epoch 3601/50000, Loss: 383946.34375
2024-10-05 14:51:41,371 - INFO - Epoch 3701/50000, Loss: 380933.875
2024-10-05 14:52:10,747 - INFO - Epoch 3801/50000, Loss: 378790.59375
2024-10-05 14:52:40,951 - INFO - Epoch 3901/50000, Loss: 376313.96875
2024-10-05 14:53:10,701 - INFO - Epoch 4001/50000, Loss: 373874.375
2024-10-05 14:53:41,798 - INFO - Epoch 4101/50000, Loss: 372663.1875
2024-10-05 14:54:12,532 - INFO - Epoch 4201/50000, Loss: 368566.28125
2024-10-05 14:54:42,986 - INFO - Epoch 4301/50000, Loss: 366132.625
2024-10-05 14:55:13,689 - INFO - Epoch 4401/50000, Loss: 366481.25
2024-10-05 14:55:44,347 - INFO - Epoch 4501/50000, Loss: 364013.0
2024-10-05 14:56:15,004 - INFO - Epoch 4601/50000, Loss: 362947.5625
2024-10-05 14:56:45,458 - INFO - Epoch 4701/50000, Loss: 358762.78125
2024-10-05 14:57:15,489 - INFO - Epoch 4801/50000, Loss: 354204.8125
2024-10-05 14:57:45,598 - INFO - Epoch 4901/50000, Loss: 352344.78125
2024-10-05 14:58:16,333 - INFO - Epoch 5001/50000, Loss: 350269.375
2024-10-05 14:58:47,177 - INFO - Epoch 5101/50000, Loss: 347582.5625
2024-10-05 14:59:18,131 - INFO - Epoch 5201/50000, Loss: 345339.59375
2024-10-05 14:59:48,725 - INFO - Epoch 5301/50000, Loss: 344736.03125
2024-10-05 15:00:19,414 - INFO - Epoch 5401/50000, Loss: 342366.96875
2024-10-05 15:00:50,180 - INFO - Epoch 5501/50000, Loss: 339576.28125
2024-10-05 15:01:20,696 - INFO - Epoch 5601/50000, Loss: 344848.0625
2024-10-05 15:01:51,181 - INFO - Epoch 5701/50000, Loss: 334063.40625
2024-10-05 15:02:21,557 - INFO - Epoch 5801/50000, Loss: 331775.75
2024-10-05 15:02:51,855 - INFO - Epoch 5901/50000, Loss: 328774.21875
2024-10-05 15:03:21,667 - INFO - Epoch 6001/50000, Loss: 327354.90625
2024-10-05 15:03:52,589 - INFO - Epoch 6101/50000, Loss: 326147.96875
2024-10-05 15:04:23,355 - INFO - Epoch 6201/50000, Loss: 327678.96875
2024-10-05 15:04:53,355 - INFO - Epoch 6301/50000, Loss: 322033.1875
2024-10-05 15:05:23,856 - INFO - Epoch 6401/50000, Loss: 325547.90625
2024-10-05 15:05:54,059 - INFO - Epoch 6501/50000, Loss: 318221.84375
2024-10-05 15:06:24,747 - INFO - Epoch 6601/50000, Loss: 321137.90625
2024-10-05 15:06:55,373 - INFO - Epoch 6701/50000, Loss: 320147.375
2024-10-05 15:07:25,608 - INFO - Epoch 6801/50000, Loss: 314354.15625
2024-10-05 15:07:55,499 - INFO - Epoch 6901/50000, Loss: 308810.09375
2024-10-05 15:08:26,172 - INFO - Epoch 7001/50000, Loss: 311208.375
2024-10-05 15:08:56,422 - INFO - Epoch 7101/50000, Loss: 308177.40625
2024-10-05 15:09:26,798 - INFO - Epoch 7201/50000, Loss: 308837.40625
2024-10-05 15:09:57,408 - INFO - Epoch 7301/50000, Loss: 299362.9375
2024-10-05 15:10:27,861 - INFO - Epoch 7401/50000, Loss: 300038.5
2024-10-05 15:10:58,816 - INFO - Epoch 7501/50000, Loss: 295729.375
2024-10-05 15:11:29,848 - INFO - Epoch 7601/50000, Loss: 293930.21875
2024-10-05 15:12:00,819 - INFO - Epoch 7701/50000, Loss: 297778.625
2024-10-05 15:12:31,320 - INFO - Epoch 7801/50000, Loss: 290882.65625
2024-10-05 15:13:01,868 - INFO - Epoch 7901/50000, Loss: 289643.3125
2024-10-05 15:13:32,603 - INFO - Epoch 8001/50000, Loss: 288098.0
2024-10-05 15:14:03,259 - INFO - Epoch 8101/50000, Loss: 288252.625
2024-10-05 15:14:34,009 - INFO - Epoch 8201/50000, Loss: 286754.09375
2024-10-05 15:15:03,963 - INFO - Epoch 8301/50000, Loss: 284313.84375
2024-10-05 15:15:34,902 - INFO - Epoch 8401/50000, Loss: 277929.5
2024-10-05 15:16:06,121 - INFO - Epoch 8501/50000, Loss: 276113.53125
2024-10-05 15:16:36,435 - INFO - Epoch 8601/50000, Loss: 275636.65625
2024-10-05 15:17:06,497 - INFO - Epoch 8701/50000, Loss: 277277.25
2024-10-05 15:17:37,217 - INFO - Epoch 8801/50000, Loss: 270535.34375
2024-10-05 15:18:07,406 - INFO - Epoch 8901/50000, Loss: 267529.875
2024-10-05 15:18:38,172 - INFO - Epoch 9001/50000, Loss: 266253.5
2024-10-05 15:19:08,422 - INFO - Epoch 9101/50000, Loss: 263991.875
2024-10-05 15:19:38,704 - INFO - Epoch 9201/50000, Loss: 260786.453125
2024-10-05 15:20:09,127 - INFO - Epoch 9301/50000, Loss: 261662.1875
2024-10-05 15:20:40,268 - INFO - Epoch 9401/50000, Loss: 258301.21875
2024-10-05 15:21:11,284 - INFO - Epoch 9501/50000, Loss: 259407.3125
2024-10-05 15:21:42,300 - INFO - Epoch 9601/50000, Loss: 254171.71875
2024-10-05 15:22:13,160 - INFO - Epoch 9701/50000, Loss: 259475.546875
2024-10-05 15:22:43,988 - INFO - Epoch 9801/50000, Loss: 253126.59375
2024-10-05 15:23:14,160 - INFO - Epoch 9901/50000, Loss: 251044.546875
2024-10-05 15:23:44,365 - INFO - Epoch 10001/50000, Loss: 247406.4375
2024-10-05 15:24:14,992 - INFO - Epoch 10101/50000, Loss: 244493.546875
2024-10-05 15:24:44,680 - INFO - Epoch 10201/50000, Loss: 241833.875
2024-10-05 15:25:15,336 - INFO - Epoch 10301/50000, Loss: 242821.1875
2024-10-05 15:25:46,133 - INFO - Epoch 10401/50000, Loss: 243059.515625
2024-10-05 15:26:17,228 - INFO - Epoch 10501/50000, Loss: 237777.765625
2024-10-05 15:26:47,776 - INFO - Epoch 10601/50000, Loss: 236492.75
2024-10-05 15:27:18,151 - INFO - Epoch 10701/50000, Loss: 235059.671875
2024-10-05 15:27:47,760 - INFO - Epoch 10801/50000, Loss: 234897.078125
2024-10-05 15:28:18,324 - INFO - Epoch 10901/50000, Loss: 233532.546875
2024-10-05 15:28:48,684 - INFO - Epoch 11001/50000, Loss: 230095.125
2024-10-05 15:29:19,512 - INFO - Epoch 11101/50000, Loss: 225312.265625
2024-10-05 15:29:49,607 - INFO - Epoch 11201/50000, Loss: 225466.0
2024-10-05 15:30:19,732 - INFO - Epoch 11301/50000, Loss: 221734.484375
2024-10-05 15:30:49,577 - INFO - Epoch 11401/50000, Loss: 226022.78125
2024-10-05 15:31:19,796 - INFO - Epoch 11501/50000, Loss: 232103.1875
2024-10-05 15:31:50,858 - INFO - Epoch 11601/50000, Loss: 218340.546875
2024-10-05 15:32:21,375 - INFO - Epoch 11701/50000, Loss: 229242.015625
2024-10-05 15:32:52,469 - INFO - Epoch 11801/50000, Loss: 215000.15625
2024-10-05 15:33:23,033 - INFO - Epoch 11901/50000, Loss: 211698.296875
2024-10-05 15:33:53,440 - INFO - Epoch 12001/50000, Loss: 210690.03125
2024-10-05 15:34:23,925 - INFO - Epoch 12101/50000, Loss: 207399.09375
2024-10-05 15:34:54,286 - INFO - Epoch 12201/50000, Loss: 207657.578125
2024-10-05 15:35:24,879 - INFO - Epoch 12301/50000, Loss: 207169.125
2024-10-05 15:35:55,739 - INFO - Epoch 12401/50000, Loss: 207028.296875
2024-10-05 15:36:26,115 - INFO - Epoch 12501/50000, Loss: 207918.65625
2024-10-05 15:36:56,835 - INFO - Epoch 12601/50000, Loss: 199058.09375
2024-10-05 15:37:27,257 - INFO - Epoch 12701/50000, Loss: 207512.453125
2024-10-05 15:37:57,476 - INFO - Epoch 12801/50000, Loss: 204321.140625
2024-10-05 15:38:27,820 - INFO - Epoch 12901/50000, Loss: 197639.828125
2024-10-05 15:38:57,930 - INFO - Epoch 13001/50000, Loss: 198120.9375
2024-10-05 15:39:28,055 - INFO - Epoch 13101/50000, Loss: 208036.140625
2024-10-05 15:39:59,307 - INFO - Epoch 13201/50000, Loss: 200957.40625
2024-10-05 15:40:29,528 - INFO - Epoch 13301/50000, Loss: 188553.03125
2024-10-05 15:40:59,919 - INFO - Epoch 13401/50000, Loss: 189752.28125
2024-10-05 15:41:30,482 - INFO - Epoch 13501/50000, Loss: 194203.9375
2024-10-05 15:42:00,826 - INFO - Epoch 13601/50000, Loss: 185484.4375
2024-10-05 15:42:31,639 - INFO - Epoch 13701/50000, Loss: 184557.03125
2024-10-05 15:43:02,014 - INFO - Epoch 13801/50000, Loss: 196322.390625
2024-10-05 15:43:32,389 - INFO - Epoch 13901/50000, Loss: 191551.46875
2024-10-05 15:44:03,014 - INFO - Epoch 14001/50000, Loss: 176391.171875
2024-10-05 15:44:33,530 - INFO - Epoch 14101/50000, Loss: 183384.71875
2024-10-05 15:45:04,811 - INFO - Epoch 14201/50000, Loss: 174495.96875
2024-10-05 15:45:35,171 - INFO - Epoch 14301/50000, Loss: 183158.859375
2024-10-05 15:46:05,490 - INFO - Epoch 14401/50000, Loss: 174927.8125
2024-10-05 15:46:36,028 - INFO - Epoch 14501/50000, Loss: 178041.5
2024-10-05 15:47:06,325 - INFO - Epoch 14601/50000, Loss: 169479.015625
2024-10-05 15:47:36,935 - INFO - Epoch 14701/50000, Loss: 172311.421875
2024-10-05 15:48:07,748 - INFO - Epoch 14801/50000, Loss: 166374.1875
2024-10-05 15:48:38,216 - INFO - Epoch 14901/50000, Loss: 167955.828125
2024-10-05 15:49:08,576 - INFO - Epoch 15001/50000, Loss: 162770.15625
2024-10-05 15:49:38,529 - INFO - Epoch 15101/50000, Loss: 166157.5
2024-10-05 15:50:08,921 - INFO - Epoch 15201/50000, Loss: 182459.78125
2024-10-05 15:50:39,796 - INFO - Epoch 15301/50000, Loss: 157945.421875
2024-10-05 15:51:10,593 - INFO - Epoch 15401/50000, Loss: 168190.875
2024-10-05 15:51:41,156 - INFO - Epoch 15501/50000, Loss: 160802.28125
2024-10-05 15:52:11,330 - INFO - Epoch 15601/50000, Loss: 153922.015625
2024-10-05 15:52:42,472 - INFO - Epoch 15701/50000, Loss: 157124.25
2024-10-05 15:53:13,629 - INFO - Epoch 15801/50000, Loss: 163665.515625
2024-10-05 15:53:43,988 - INFO - Epoch 15901/50000, Loss: 153004.546875
2024-10-05 15:54:13,817 - INFO - Epoch 16001/50000, Loss: 148059.875
2024-10-05 15:54:44,396 - INFO - Epoch 16101/50000, Loss: 147815.96875
2024-10-05 15:55:14,849 - INFO - Epoch 16201/50000, Loss: 147619.828125
2024-10-05 15:55:45,351 - INFO - Epoch 16301/50000, Loss: 148468.4375
2024-10-05 15:56:16,134 - INFO - Epoch 16401/50000, Loss: 149839.953125
2024-10-05 15:56:46,150 - INFO - Epoch 16501/50000, Loss: 142527.828125
2024-10-05 15:57:16,729 - INFO - Epoch 16601/50000, Loss: 144014.0625
2024-10-05 15:57:47,275 - INFO - Epoch 16701/50000, Loss: 136889.90625
2024-10-05 15:58:17,198 - INFO - Epoch 16801/50000, Loss: 135416.859375
2024-10-05 15:58:47,621 - INFO - Epoch 16901/50000, Loss: 135568.875
2024-10-05 15:59:18,309 - INFO - Epoch 17001/50000, Loss: 142856.734375
2024-10-05 15:59:48,419 - INFO - Epoch 17101/50000, Loss: 140829.234375
2024-10-05 16:00:19,389 - INFO - Epoch 17201/50000, Loss: 145017.125
2024-10-05 16:00:50,002 - INFO - Epoch 17301/50000, Loss: 139517.265625
2024-10-05 16:01:20,486 - INFO - Epoch 17401/50000, Loss: 129031.0234375
2024-10-05 16:01:51,690 - INFO - Epoch 17501/50000, Loss: 139270.40625
2024-10-05 16:02:22,160 - INFO - Epoch 17601/50000, Loss: 130559.2734375
2024-10-05 16:02:52,598 - INFO - Epoch 17701/50000, Loss: 131743.515625
2024-10-05 16:03:22,989 - INFO - Epoch 17801/50000, Loss: 129204.65625
